signal_0,signal_1,signal_2,signal_3,signal_4,signal_5,signal_6,signal_7,signal_8,signal_9,nonlinear_0,nonlinear_1,nonlinear_2,nonlinear_3,nonlinear_4,num_peaks,ox_peak_current,ox_peak_voltage,peak_width,peak_prominence,peak_area,peak_symmetry,max_gradient,min_gradient,mean_gradient,gradient_std,max_curvature,mean_curvature,diffusion_asymmetry,tafel_slope,tafel_intercept,reaction_activity,kinetic_energy,signal_entropy,equilibrium_potential,potential_range,current_range,baseline_drift,electrochemical_stability,mean_current,std_current,max_current,min_current,rms_current,skewness,kurtosis,label
0.106924325,0.21414556,0.87087494,-0.0929635,152.0,0.13248326,-0.00018746452,0.023542436,53.450756,300.0,2.8416903,2.3232975,4.36379,1.3025985,0.7648422,17.0,0.87087494,0.20240481,52.22995,0.9486893,0.23686518,0.8251833,0.0871116,-0.0836479,-0.00018746452,0.023542436,0.065101765,0.00014166393,0.93798447,0.2582689,-3.278854,0.11885923,28.645565,5.252673,-0.9358717,2.0,0.9638384,0.010844032,4.669721,0.106924325,0.21414556,0.87087494,-0.0929635,0.23935565,2.3232975,4.36379,dopamine
0.14782293,0.26379848,1.0427965,-0.07740565,166.0,0.16160217,0.00023544686,0.02194266,73.88371,317.0,2.942473,2.1000535,3.2939546,1.412551,0.8285979,11.0,1.0427965,0.27054107,59.836052,1.116511,0.31666914,0.9718776,0.107335776,-0.06039198,0.00023544686,0.02194266,0.069843315,0.00022936556,0.97628456,0.20498334,-3.0157402,0.15786636,45.720627,5.3043666,-0.6472946,2.0,1.1202022,-0.0035971166,3.7907724,0.14782293,0.26379848,1.0427965,-0.07740565,0.30239254,2.1000535,3.2939546,glucose
0.14784008,0.2626285,1.0243112,-0.071129106,160.0,0.16981257,-0.00021370823,0.021745117,73.91459,307.0,2.9037876,2.0867379,3.1856453,1.421944,0.8413983,10.0,1.0243112,0.23046093,59.92684,1.0920677,0.31337652,0.64132,0.069508925,-0.09836864,-0.00021370823,0.021745117,0.086501285,0.0001933635,1.0242915,0.048590254,-3.0312006,0.1563915,45.41521,5.286617,0.76352704,2.0,1.0954403,-0.014019844,3.8076596,0.14784008,0.2626285,1.0243112,-0.071129106,0.30138084,2.0867379,3.1856453,glucose
0.11836971,0.20327863,0.80552727,-0.076784566,163.0,0.14335209,-9.816833e-05,0.021720815,59.200584,365.0,3.1127675,1.8473866,2.544129,1.2712164,0.7881209,10.0,0.80552727,0.46292585,55.88166,0.87103176,0.26589474,0.6872023,0.067344,-0.06636109,-9.816833e-05,0.021720815,0.056139905,-0.00016373942,0.9455253,1.0971731,-3.073798,0.1326247,27.666798,5.418524,-0.92785573,2.0,0.8823118,-0.004949796,4.919356,0.11836971,0.20327863,0.80552727,-0.076784566,0.23523094,1.8473866,2.544129,uric_acid
0.117372446,0.20233384,0.7899105,-0.083794884,169.0,0.13798757,-8.057101e-05,0.022892423,58.66908,359.0,3.1330833,1.8475405,2.4939137,1.2480872,0.7465647,11.0,0.7899105,0.43887776,56.608223,0.8536897,0.26329112,0.54115057,0.0650243,-0.06782378,-8.057101e-05,0.022892423,0.048894074,2.494046e-05,1.0408163,1.0662996,-3.0541935,0.13187702,27.357637,5.4223084,0.747495,2.0,0.8737054,-0.016103486,4.942327,0.117372446,0.20233384,0.7899105,-0.083794884,0.23391296,1.8475405,2.4939137,uric_acid
0.11079533,0.17965612,0.7016533,-0.0770781,162.0,0.1350038,-0.00014148503,0.021708004,55.433903,263.0,3.175379,1.8606684,2.4244347,1.2406172,0.80844414,12.0,0.7016533,0.054108217,63.725403,0.77427846,0.24275546,1.1698464,0.060080275,-0.085504144,-0.00014148503,0.021708004,0.04885144,-0.00023157113,0.96850395,-0.4005947,-3.013926,0.12125233,22.275963,5.4784603,0.52705413,2.0,0.7787314,-0.00085422304,5.5661893,0.11079533,0.17965612,0.7016533,-0.0770781,0.21107328,1.8606684,2.4244347,ascorbic_acid
0.11823271,0.20607279,0.7906376,-0.098012455,163.0,0.15446378,5.1880597e-05,0.023095643,59.1061,359.0,3.12171,1.8462034,2.4950793,1.2551947,0.8025113,14.0,0.7906376,0.43887776,60.602943,0.8589372,0.26749834,0.5656051,0.07441603,-0.07627971,5.1880597e-05,0.023095643,0.06064509,0.00016624469,1.0833334,0.8085879,-3.0904284,0.13339047,28.222486,5.410121,0.8797595,2.0,0.88865006,0.0016847779,4.852654,0.11823271,0.20607279,0.7906376,-0.098012455,0.2375815,1.8462034,2.4950793,uric_acid
0.1475171,0.2615239,1.0626487,-0.06779474,163.0,0.16143149,-0.000100854224,0.02260503,73.77283,308.0,2.92239,2.1072683,3.3129082,1.3825564,0.77124846,14.0,1.0626487,0.23446894,59.85302,1.1280357,0.3137846,0.6606699,0.077186204,-0.06313122,-0.000100854224,0.02260503,0.051924948,6.8636466e-05,0.93798447,0.14600867,-2.971596,0.15683788,45.078022,5.310013,0.9599198,2.0,1.1304433,0.005698348,3.8237422,0.1475171,0.2615239,1.0626487,-0.06779474,0.30025995,2.1072683,3.3129082,glucose
0.11330344,0.18002865,0.69869745,-0.07480638,162.0,0.14047001,4.4090426e-05,0.021791136,56.648235,264.0,3.179538,1.8656646,2.4636545,1.226155,0.8006302,13.0,0.69869745,0.05811623,65.185524,0.74748194,0.24634384,1.2555014,0.05927599,-0.0614924,4.4090426e-05,0.021791136,0.059558284,0.00013038967,1.0242915,-0.44713658,-3.034973,0.12263775,22.623993,5.4799366,0.6432866,2.0,0.77350384,-0.006712587,5.5546713,0.11330344,0.18002865,0.69869745,-0.07480638,0.21271573,1.8656646,2.4636545,ascorbic_acid
0.11467352,0.1798359,0.71511245,-0.08814247,162.0,0.1389199,0.00014109381,0.022130584,57.354214,262.0,3.1491416,1.8558952,2.441985,1.2232277,0.7899507,11.0,0.71511245,0.0501002,63.66833,0.77209824,0.24716835,1.1893473,0.06110413,-0.07189609,0.00014109381,0.022130584,0.050403904,-9.051056e-05,1.0576131,-0.5772512,-3.0571916,0.12326404,22.745483,5.479197,0.44689378,2.0,0.8032549,0.0040377136,5.5606246,0.11467352,0.1798359,0.71511245,-0.08814247,0.21328612,1.8558952,2.441985,ascorbic_acid
